layer	latent	clinical_exp	model
12	2243	"""Medical dosages or numerical values containing the digit \""1\""."""	2B
12	2244	"""Numerical values, particularly those embedded within measurements or time stamps."""	2B
12	2245	"""Laboratory values, medical abbreviations, and units of measurement."""	2B
12	2246	"""The term \""format\"" or its variants, often in the context of medical imaging reconstructions or reformations."""	2B
12	2247	"""The token \""IP\"" consistently has high activation levels across various contexts, suggesting it represents a specific medical term or abbreviation, likely \""Inspiratory Pressure\"" in the context of respiratory settings, but also possibly \""Intraperitoneal\"" or \""Intellectual Property\"" in other contexts, however, given the medical context of the snippets, \""Inspiratory Pressure\"" is the most likely explanation."""	2B
12	2248	"""The presence of the word \""smell\"" or phrases indicating a strong odor, often associated with alcohol or other substances."""	2B
12	2249	"""Physical examination findings, particularly those related to the eyes, specifically the pupils."""	2B
12	2250	"""The presence of the word \""organized\"" or its variants, often indicating a structured or coherent arrangement, particularly in medical contexts such as fluid collections or thrombi."""	2B
12	2251	"""The term \""lord\"" is highly activated when it appears in the context of describing spinal curvature or posture, particularly in relation to cervical lordosis."""	2B
12	2252	"""Important tokens are often related to a person's occupation, medical causes or etiologies, or descriptions of dominance in medical contexts."""	2B
12	2253	"""Medical abbreviations or terms, often related to diagnoses, lab findings, or medical procedures."""	2B
12	2254	"""Expressions of concern or worry about a patient's condition, prognosis, or well-being."""	2B
12	2255	"""The model is activated by phrases or sentences that convey a sense of progression, change, or comparison, often in a medical context, particularly when describing a patient's condition, treatment, or test results over time."""	2B
12	2256	"""Decades or years, often in the context of age, duration, or historical events."""	2B
12	2257	"""Periods (.) that follow a sentence or phrase describing a medical treatment, intervention, or significant event."""	2B
12	2258	"""The model is activated by the presence of a specific numeric value, often \""1\"", typically in the context of medication instructions or dosages, and occasionally by other single-character tokens."""	2B
12	2259	"""Medication names, specifically proton pump inhibitors."""	2B
12	2260	"""The model is activated by words related to medical treatment, medication, or medical procedures, particularly when they appear in a context that suggests administration, prescription, or dosage."""	2B
12	2261	"""Punctuation marks used in medical notation and formatting."""	2B
12	2262	"""Medical terminology, procedures, or instructions, often related to patient care or treatment."""	2B
12	2263	"""The model is activated by phrases indicating a change in condition, often negative, or a complicating factor in a medical context."""	2B
12	2265	"""Surgical terms, particularly those related to procedures, repairs, or anatomical features."""	2B
12	2266	"""The model is activated by tokens that are part of medical terminology, anatomical locations, or specific quantities, often in the context of medical diagnoses, treatments, or test results."""	2B
12	2267	"""Empty or blank tokens, often indicating missing or redacted information, or tokens that immediately follow or precede such missing information."""	2B
12	2268	"""The model is activated by mentions of personal communication devices, particularly phones and pagers."""	2B
12	2269	"""The activation levels are higher for tokens that are part of medical terminology, diagnoses, lab results, or specific medical concepts, indicating that the model is more representative of patterns related to medical information."""	2B
12	2270	"""The pronoun \""her\"" is consistently activated when referring to a female patient or a female family member or caregiver, indicating the model is recognizing and emphasizing feminine possessive pronouns in medical contexts."""	2B
12	2271	"""Punctuation marks, particularly those used in medical notation, such as parentheses and commas, often in the context of medication instructions or medical procedures."""	2B
12	2273	"""Dosage or quantity specifications, particularly those involving the digit \""1\""."""	2B
12	2274	"""Medication dosages or quantities."""	2B
12	2275	"""Symbols, abbreviations, and units commonly used in medical records and prescriptions."""	2B
12	2276	"""Medical terms, diagnoses, treatments, or procedures, often including specific names of medications, body parts, or conditions."""	2B
12	2277	"""The digit \""1\"" is consistently activated when it appears as the first digit in a medication dosage, often in the format \""10\""."""	2B
12	2279	"""Infant nutrition, specifically formula feeding."""	2B
12	2280	"""Empty or blank tokens between delimiters, often indicating a placeholder or missing information."""	2B
12	2281	"""The pronoun \""you\"" is consistently activated, indicating that the model is recognizing and emphasizing the patient or individual being addressed in medical instructions or information."""	2B
12	2282	"""Punctuation marks, particularly periods, and words or phrases that immediately precede or follow them, often indicating the end of a sentence or a transition in thought."""	2B
12	2283	"""The model is activated by specific medical terms or entities, particularly when they are part of a diagnosis, lab finding, or medical condition, but also by certain foreign objects found in the body."""	2B
12	2284	"""Numerical values or medical terms that are crucial for patient care, treatment, or diagnosis, often indicating specific quantities, conditions, or instructions."""	2B
12	2285	"""Numerical values, particularly dosages or concentrations, containing the digit \""0\""."""	2B
12	2286	"""The digit \""1\"" or a blank space when it appears to represent a quantity of medication or dosage frequency."""	2B
12	2287	"""Digits within numerical values, particularly those that appear to be part of a dosage or measurement."""	2B
12	2288	"""The presence of the word \""other\"" in a phrase indicating a negation or absence of something, often in the context of medical findings or conditions."""	2B
12	2289	"""Punctuation marks, particularly periods, and sometimes surrounding spaces or dashes, often indicating the end of a sentence or a list item, especially in medical discharge notes and diagnoses."""	2B
12	2290	"""The presence of \""tach\"" in the context of newborns, often associated with \""ypnea\"", indicating transient tachypnea of the newborn, a common respiratory condition in newborns."""	2B
12	2291	"""The activation levels are highest for tokens that are part of a standardized medical record format, particularly those related to patient information, medical history, and treatment details, suggesting that the model is recognizing and emphasizing the importance of these specific sections and keywords in a medical context."""	2B
12	2292	"""Medications or medical treatments, particularly those with petroleum-based or antibiotic-related names."""	2B
12	2293	"""The first letter of abbreviations or the letter that completes an abbreviation."""	2B
12	2294	"""The presence of the token \""Pan\"" is highly representative of the pattern, indicating that the model is activating on the term \""Pan\"" likely due to its association with the medication name \""Pantoprazole\""."""	2B
12	2295	"""The model is activated by tokens that are part of written instructions, warnings, or labels, often in a medical or healthcare context."""	2B
12	2296	"""Medical terms or phrases, particularly those related to diagnoses, infections, or laboratory results."""	2B
12	2298	"""Medical instructions or dosing information, particularly those indicating frequency or administration."""	2B
12	2299	"""The presence of a hyphen or a period within the delimiters indicates a separator or a unit of measurement in laboratory test results."""	2B
12	2300	"""Asterisks (*) and surrounding text often used to denote medication prescriptions, including dosage, quantity, and refill information."""	2B
12	2301	"""Abbreviated medical terms or variables, particularly those related to cardiovascular or physiological measurements."""	2B
12	2302	"""Numerical values, quantities, or counts, often in a medical context."""	2B
12	2303	"""The term \""tip\"" is highly activated when referring to the end or extremity of a medical device, such as a catheter or tube, particularly in radiological contexts."""	2B
12	2304	"""The token \""stayed\"" or \""stay\"" is consistently activated when it refers to a patient remaining in a particular location or state, often for medical reasons or observation."""	2B
12	2305	"""The model is activated by medical terms, particularly those related to diagnoses, treatments, or medications, as well as a specific sequence of characters \""QU\"" likely indicating a medical transcriptionist's identifier."""	2B
12	2306	"""The number \""1\"" in medical dosage instructions."""	2B
12	2307	"""Medical specialties or departments."""	2B
12	2308	"""Facial expressions, specifically smiling, in the context of neurological or physical examinations."""	2B
12	2309	"""Medication names or dosing instructions."""	2B
12	2310	"""The activation pattern is associated with missing or redacted information, often indicated by a sequence of question marks (\""??????\"") within the delimiters."""	2B
12	2312	"""Omitted or redacted text, often containing sensitive or specific medical information."""	2B
12	2313	"""The model is activated by substrings of medication names."""	2B
12	2314	"""Numerical values, particularly those that appear to be quantities, measurements, or dosages, often in the context of medical prescriptions or instructions."""	2B
12	2315	"""Phrases or words that convey a sense of dependency, reliance, or connection, often indicating a crucial or causal relationship between concepts or actions."""	2B
12	2316	"""Academic degrees or professional certifications."""	2B
12	2317	"""Time or numerical values, particularly those related to time, weight, or lab results."""	2B
12	2318	"""The model is activated by phrases that describe or introduce a condition, diagnosis, or a notable aspect of a medical finding, often using linking verbs or phrases that connect the condition to the patient or a specific context."""	2B
12	2320	"""The presence of the token \""tal\"" or its variations, often referring to talus or talc, particularly in medical contexts such as fractures or pleurodesis."""	2B
12	2321	"""Abbreviations or words that are part of medical terminology, records, or specific medical concepts."""	2B
12	2322	"""The token \""people\"" is activated when it refers to individuals or groups in a general or nonspecific sense, often in the context of social interactions, behaviors, or perceptions."""	2B
12	2323	"""Medical terms, medication names, or units of measurement, often in a clinical or treatment context."""	2B
12	2324	"""The term \""council\"" or its variants, often referring to counseling or a council, is activated when it is related to advice, guidance, or a specific organization providing support or resources."""	2B
12	2325	"""Words related to entertainment, particularly movies, or other less common terms that are not part of the main medical narrative."""	2B
12	2326	"""The model is activated by tokens that are part of a word or phrase that is being truncated or cut off, often due to the presence of the delimiter, suggesting that the model is sensitive to incomplete or fragmented words."""	2B
12	2327	"""The token \""or\"" is consistently activated across various snippets, suggesting that the model is recognizing this token as a key element, possibly due to its common use as a conjunction in medical texts, particularly in presenting alternative diagnoses or conditions."""	2B
12	2328	"""The model is activated by phrases indicating a change in a patient's condition, treatment, or status, often involving verbs such as \""improved\"", \""become\"", \""be\"", \""changed\"", or \""considered\""."""	2B
12	2329	"""The model is activated by tokens that indicate a medical condition, symptom, or treatment, often in the context of a patient's needs or requirements."""	2B
12	2330	"""The colon symbol \"":\"" is highly activated across all snippets, suggesting that it is a key indicator of the pattern being identified, likely denoting a section or category label."""	2B
12	2331	"""Sentence or section delimiters in medical reports."""	2B
12	2332	"""The pattern of activation is associated with phrases that indicate a state of being accessible, susceptible, or receptive to something, often in a physical or metaphorical sense, typically involving the preposition \""to\""."""	2B
12	2333	"""Laboratory test names, reference ranges, and abnormal values."""	2B
12	2334	"""The activation patterns are associated with phrases that indicate dependency or contingency, often introduced by the word \""depending\"" and followed by a phrase that specifies the condition or factor on which something depends."""	2B
12	2335	"""The \""=\"" symbol is used to indicate a value or measurement, often in a medical context, and the activation levels are high when this symbol is present, suggesting that the model is recognizing and emphasizing the importance of these values or measurements."""	2B
12	2336	"""Preparing a patient for a medical procedure, including prepping, draping, and administering anesthesia."""	2B
12	2337	"""Medical history or clinical presentation, especially when \""present\"" is involved."""	2B
12	2339	"""The presence of the word \""change\"" or its variants, often in the context of comparing to a previous state or condition, particularly in medical settings."""	2B
12	2340	"""The activation pattern is associated with the phrase \""attempt was made\"" to perform a procedure or action, with the highest activation levels when the phrase is used in its entirety, and lower activation levels when only the word \""made\"" is present."""	2B
12	2341	"""Medical concepts or events, particularly those related to procedures, complications, or patient experiences."""	2B
12	2342	"""The model is activated by phrases related to follow-up appointments or care, particularly when the words \""follow\"", \""up\"", and \""appointment\"" appear together or in close proximity."""	2B
12	2343	"""Medical record keywords or phrases, often denoting specific information or categories, such as names, medical specialties, diagnoses, or test results."""	2B
12	2344	"""Nebulization or inhalation instructions, particularly those involving albuterol."""	2B
12	2345	"""Medical terms, diagnoses, or conditions, often with a focus on specific diseases, health states, or medical concepts."""	2B
12	2346	"""The token \""1\"" is consistently activated when it appears as the first digit in a numerical value representing a dosage or a list item, often in a medical context."""	2B
12	2347	"""Cooking methods or techniques, particularly those involving heat, water, or specific kitchen tools."""	2B
12	2348	"""Medication names, dosages, and instructions."""	2B
12	2349	"""The model is activated by tokens that are part of a phrase or word indicating a medical concept, condition, or event, particularly when they are part of a phrase or word that is not a common function word, and especially when they are part of a phrase or word that is a medical term or jargon."""	2B
12	2350	"""Time of day, medical test names, and units of measurement, particularly those related to blood tests."""	2B
12	2351	"""Surgical or medical procedures, anatomical locations, or conditions related to the spine or other bodily structures."""	2B
12	2352	"""Medical terminology, medication names, and numerical values, particularly those related to treatment, dosage, or medical procedures."""	2B
12	2353	"""Numerical values or quantities, often in the context of medical information, measurements, or dosages."""	2B
12	2354	"""The token \""Prior\"" is consistently activated when it is used to indicate a timeframe preceding a medical event, procedure, or assessment."""	2B
12	2355	"""The phrase \""patient with\"" is a highly activated pattern, indicating that the model is sensitive to this specific phraseology, often used to introduce a patient's medical condition or diagnosis."""	2B
12	2356	"""Occupations or roles related to education, particularly those involving teaching or working in schools."""	2B
12	2358	"""Medical imaging tests or diagnostic procedures."""	2B
12	2359	"""Medical procedures, events, or updates, often indicating a change or addition to a patient's care or condition."""	2B
12	2360	"""Medical terms or phrases, particularly those related to medications, treatments, or medical assessments."""	2B
12	2362	"""The token \""SODIUM\"" or parts of it, particularly the suffix \""IUM\""."""	2B
12	2363	"""Commas used as thousand separators in numerical values."""	2B
12	2364	"""Medical terms or phrases, particularly those related to diagnoses, conditions, or medical concepts."""	2B
12	2365	"""Single characters or short sequences that appear to be abbreviations for medical terms or symbols, often representing a specific medical concept or notation."""	2B
12	2366	"""The presence of a blank or empty token between delimiters, often indicating a missing or redacted piece of information, or a token that is part of a numbered list or a medication dosage."""	2B
12	2367	"""Medical terms or conditions, often related to specific body parts or systems, and sometimes including treatments or assessments."""	2B
12	2368	"""The model is activated by phrases or sentences that convey specific actions, instructions, or recommendations, often in a medical or clinical context, particularly when they are part of a formal or imperative statement."""	2B
12	2370	"""Medication instructions with delayed release formulations."""	2B
12	2371	"""Predictions or forecasts of medical outcomes, treatment efficacy, or test results."""	2B
12	2372	"""The presence of a virus, either as a cause of illness or as a detected entity."""	2B
12	2373	"""The model is activated by mentions of \""publishing\"" or \""publications\"" in the context of work or industry, and also by mentions of \""pub\"" or \""public\"" in medical contexts, particularly in reference to pelvic anatomy."""	2B
12	2375	"""Medical conditions, diagnoses, and related concepts, particularly those related to cardiovascular and endocrine systems, as well as nutritional and electrolyte management."""	2B
12	2376	"""Medical procedures or interventions, often including the events or actions immediately following them."""	2B
12	2377	"""Discussions or descriptions of a patient's poor prognosis, unlikely survival, or limited recovery possibilities."""	2B
12	2378	"""Radiological findings of layered or layered-like appearances, often associated with fluid or material accumulation, such as pleural effusions or hemorrhage."""	2B
12	2379	"""Medical interventions or treatments that were necessary for patient care."""	2B
12	2380	"""Medication names, dosages, and medical instructions."""	2B
12	2381	"""The digit \""0\"" is consistently activated when it appears as part of a year or decade, often in the context of medical history or timeline."""	2B
12	2382	"""Empty or single-digit tokens within delimiters, often indicating a placeholder or an incomplete entry."""	2B
12	2383	"""Medication names or administration instructions."""	2B
12	2384	"""The term \""acquired\"" or its variants, indicating a condition or disease obtained through external means, such as infection, injury, or medical procedure."""	2B
12	2385	"""The activation patterns are associated with the concept of physical position or placement, often in a medical context, such as the position of medical devices or the positioning of patients."""	2B
12	2386	"""The model is activated by medical terms, abbreviations, and symbols, particularly those related to medical conditions, treatments, and instructions."""	2B
12	2387	"""Locations or places where people are, rest, or receive medical treatment."""	2B
12	2388	"""ICD-9 medical codes."""	2B
12	2389	"""The term \""source\"" or its variants, often indicating the origin or cause of a medical condition or event."""	2B
12	2390	"""Medical terms or phrases that describe symptoms, diagnoses, treatments, or test results."""	2B
12	2391	"""Vital signs, specifically heart rate and blood pressure."""	2B
12	2392	"""The presence of the word \""virtual\"" or its variants, as well as certain units of measurement, such as \""liter\"", are highly representative of the pattern, while other words like \""intentional\"", \""arrhea\"", and \""diarrhea\"" are less representative but still somewhat relevant."""	2B
12	2393	"""The pronouns referring to the patient or the person being addressed, typically \""you\"", \""he\"", or \""she\"", are the important tokens."""	2B
12	2394	"""Medical tests, procedures, or equipment, particularly those related to orthopedic or laboratory settings."""	2B
12	2395	"""Medical terms or phrases, particularly those related to patient status, medical procedures, or diagnoses."""	2B
12	2396	"""The symbol \""s\"" is consistently activated when it denotes a unit of measurement or a singular form of a noun, often in a medical or pharmaceutical context, such as \""tablet(s)\"" or \""site(s)\""."""	2B
12	2397	"""The activation patterns are associated with the action of washing, particularly in the context of hand washing or washing wounds, often with specific instructions or precautions."""	2B
12	2398	"""Empty parentheses <<()>> are highly activated when they immediately precede or follow a medical test or procedure name."""	2B
12	2399	"""Anatomical locations or body parts, particularly when they are specific or directional."""	2B
12	2400	"""The word \""Patient\"" is consistently activated, indicating that the model is recognizing and highlighting the term \""Patient\"" as a key concept, likely due to its significance in medical contexts."""	2B
12	2401	"""Receipt of medical treatment or interventions."""	2B
12	2402	"""Abbreviations or partial words of medical terms, units, or time indicators."""	2B
12	2403	"""Changes made to a patient's treatment plan, particularly medication adjustments."""	2B
12	2405	"""The term \""accident\"" or its synonym \""crash\"" when describing an event involving injury or trauma."""	2B
12	2409	"""The model is activated by suffixes or word endings, particularly those that are common in medical terminology or indicate a unit of measurement."""	2B
12	2411	"""The activation levels are higher for tokens that are part of a sequence of consecutive tokens contained between delimiters, indicating that the model is more representative of patterns when the important tokens are grouped together, rather than isolated."""	2B
12	2412	"""Parentheses or other paired delimiters containing medication names, dosages, or medical instructions."""	2B
12	2413	"""The occupation of being a professor."""	2B
12	2414	"""Medical terms related to childbirth, infant care, or medical interventions."""	2B
12	2415	"""The presence of intensifying adverbs, particularly \""very\"", \""much\"", and \""extremely\"", which modify or emphasize the degree of a condition, symptom, or finding."""	2B
12	2416	"""The term \""Line\"" or \""Linezolid\"", an antibiotic medication."""	2B
12	2417	"""The model is activated by phrases related to the concept of \""life\"" in the context of its quality, duration, or value, often in relation to medical decisions or personal circumstances."""	2B
12	2419	"""Materials or textures, often related to medical or household items."""	2B
12	2420	"""Temporal transitions or sequential events, often denoted by the word \""then\"" or occasionally \""so\"", indicating a progression or change in the narrative."""	2B
12	2421	"""Marital status."""	2B
12	2422	"""Cardiac rhythms or conditions characterized by an abnormal heartbeat originating from a ventricular or junctional source, often referred to as an \""escape\"" rhythm."""	2B
12	2424	"""Laboratory values and medical test results, often including numerical values and units."""	2B
12	2425	"""The presence of \""LE\"" in medical terms, particularly those related to leukocytes or edema, or as a prefix in medication names."""	2B
12	2426	"""The model is activated by tokens that are part of medical terms or conditions, particularly those that are not fully spelled out within the delimiters, suggesting the model is sensitive to partial or abbreviated medical terminology."""	2B
12	2427	"""The colon (:) and surrounding text, often indicating a medication's dosage instructions or a medical abbreviation."""	2B
12	2428	"""Numerical values or partial words within medical contexts, particularly those related to medication, dosages, or medical procedures."""	2B
12	2429	"""Antibiotic-related terms, including names of antibiotics, antibiotic resistance, and related warnings."""	2B
12	2430	"""Medical conditions, body parts, or medical terminology, often related to organs or diseases, but also includes some non-medical terms that are part of a medical context."""	2B
12	2431	"""Medical decision-making, treatment planning, and healthcare provider or facility selection."""	2B
12	2432	"""The presence of a blank or numeric value within the delimiters indicates a high activation level, suggesting that the model is responding to the formatting or structure of the text, specifically the use of empty or numeric placeholders."""	2B
12	2433	"""Tokens enclosed in delimiters are activated when they contain or are part of a numerical value."""	2B
12	2434	"""The model is activated by medical terms, abbreviations, and specific keywords, often indicating a condition, diagnosis, or medical concept, with higher activations typically corresponding to more specific or technical terms."""	2B
12	2435	"""The model is activated by possessive relationships or connections between entities, often indicated by phrases such as \""the patient and the patient's [family member]\"" or \""your [body part/doctor]\""."""	2B
12	2436	"""The model is activated by auxiliary verbs or pronouns that initiate a question or a directive action, often in the context of medical instructions or inquiries."""	2B
12	2438	"""Abbreviations for medical terms, units, or dosing instructions."""	2B
12	2439	"""Conditional or hypothetical statements, often introduced by \""would\"" and describing potential actions or outcomes."""	2B
12	2440	"""Focus on patient comfort."""	2B
12	2441	"""The model is activated by phrases indicating novelty or uniqueness, often marked by words such as \""first\"", \""only\"", or \""ever\"", which signal that an event or experience is new or unusual."""	2B
12	2442	"""Abbreviated or numerical values, often denoting quantities, dosages, or time, especially in medical prescriptions or procedures."""	2B
12	2443	"""The verb \""engage\"" in the context of medical instructions or patient activities."""	2B
12	2444	"""The word \""Throughout\"" is consistently activated, often with high activation levels, indicating that it is a key term in the pattern being identified, typically used to describe a period of time during which a patient's condition or treatment remained stable or unchanged."""	2B
12	2445	"""Medical terms or phrases related to patient care, treatment, or symptoms, particularly those concerning cardiovascular or critical care issues."""	2B
12	2446	"""The term \""match\"" or \""matched\"" in the context of medical treatment or diagnosis, often referring to matching or balancing fluid levels, medical conditions, or donor compatibility."""	2B
12	2447	"""Temporal or spatial relationships, particularly those indicating a change or progression in a medical condition or event, often marked by the word \""when\""."""	2B
12	2448	"""The token \""body\"" is consistently activated across various medical contexts, suggesting that the model is recognizing the word \""body\"" as a key term in medical descriptions, regardless of the specific condition or examination being discussed."""	2B
12	2449	"""Colons and certain keywords or phrases that follow or precede them, often indicating labels or titles, particularly in medical records and reports."""	2B
12	2450	"""The term \""Interval\"" is consistently activated when describing changes or developments in medical conditions or imaging findings over time, indicating a pattern of temporal comparison or progression."""	2B
12	2451	"""The model is activated by phrases that indicate a medical judgment or assessment, often involving the words \""as\"", \""considered\"", or \""deemed\""."""	2B
12	2452	"""Medical terms or phrases related to specific body parts, conditions, or procedures, particularly those involving the heart, lungs, or other internal organs."""	2B
12	2453	"""Medical abbreviations or terms, particularly those related to diagnoses, procedures, or medical history."""	2B
12	2454	"""Medical procedures, interventions, or specific medical terms."""	2B
12	2455	"""Phrases indicating causality or secondary effects, often marked by words like \""secondary to\"", \""which\"", \""from\"", or \""due to\"", and sometimes including phrases describing relationships or actions."""	2B
12	2456	"""ICD-10 medical codes."""	2B
12	2457	"""Medication instructions or dosage information."""	2B
12	2458	"""Numerical values or quantities, often related to medication, time, or measurement."""	2B
12	2459	"""The model is activated by tokens related to bleeding or hemorrhage, regardless of the context in which they appear."""	2B
12	2460	"""Current or recent employment status or changes in occupation."""	2B
12	2461	"""Medical prescriptions, treatments, or procedures, particularly those involving medication administration instructions or specific medical interventions."""	2B
12	2462	"""Medical terms or phrases, particularly those related to cardiovascular conditions, procedures, or abnormalities."""	2B
12	2463	"""Medical terms, diagnoses, treatments, or measurements, often indicating a specific condition, action, or quantity."""	2B
12	2465	"""Symptoms or clinical findings, particularly those related to gastrointestinal or systemic distress."""	2B
12	2466	"""The model is activated by tokens referring to individuals involved in a patient's care or communication, such as family members, medical professionals, or the patient themselves."""	2B
12	2467	"""Medication names and their corresponding dosages or administration instructions."""	2B
12	2468	"""Units of measurement, medical abbreviations, and numerical values, particularly those related to medication dosages and medical procedures."""	2B
12	2469	"""The activation patterns are associated with the setup or arrangement of appointments, services, or medical procedures."""	2B
12	2471	"""Empty or numeric tokens within delimiters, often indicating a dosage or quantity in a medical context."""	2B
12	2472	"""The presence of the token \""Sc\"" is a strong indicator of activation, often in the context of medical terms such as \""Scant\"", \""Scrotum\"", or other words starting with the prefix \""Sc\""."""	2B
12	2474	"""Periods (.) and numbers (especially those in a list or with a following period) are highly activated, suggesting that the model is recognizing and emphasizing numerical values and possibly list items or enumerations."""	2B
12	2475	"""Time periods or durations, often indicating the timing of medical events or procedures."""	2B
12	2476	"""Punctuation marks, particularly those used to denote formatting, separation, or enclosure, such as parentheses, angle brackets, semicolons, and line breaks."""	2B
12	2477	"""Hemoglobin A1C values or the individual components \""HbA1c\"" or \""1c\"" when referring to blood glucose levels or diabetes management."""	2B
12	2478	"""The model is activated by tokens that are part of medical instructions, warnings, or notable findings, often denoted by a colon or a specific formatting style."""	2B
12	2479	"""The digit \""1\"" in a medical prescription context, often indicating a quantity or dosage."""	2B
12	2480	"""The model is activated by tokens that are part of a medical or clinical context, particularly when they are part of a specific medical term, diagnosis, or instruction, often denoted by a colon or preceding a specific detail."""	2B
12	2482	"""Abbreviated medical terms or units, often denoting laboratory values, medications, or medical procedures."""	2B
12	2483	"""Mucous membranes, particularly their condition or state."""	2B
12	2484	"""The digit \""1\"" is consistently activated when it appears as the first digit in a numerical value, often representing a quantity or dosage in medical prescriptions or diagnoses."""	2B
12	2485	"""The token \""1\"" followed by \""0\"" is consistently activated, suggesting that the model is recognizing a pattern related to the number \""10\""."""	2B
12	2486	"""Medical findings, diagnoses, or test results."""	2B
12	2487	"""Patient demographic and medical history information."""	2B
12	2488	"""Dose or quantity information in medical prescriptions or instructions."""	2B
12	2489	"""The model is activated by the presence of medication names or rare medical conditions, particularly when they are partially or fully enclosed in the delimiters."""	2B
12	2490	"""Tokens that are part of a medical instruction, a patient's condition, or a doctor's advice tend to have higher activation levels."""	2B
12	2492	"""The presence of a comma within a delimiter or immediately following a delimiter, often indicating a pause or a list in post-operative care instructions."""	2B
12	2493	"""Radiological findings suggestive of a \""tree-in-bud\"" pattern, often indicative of infectious or inflammatory processes in the lungs."""	2B
12	2494	"""Medical abbreviations, symbols, or keywords, often used in prescriptions, medical notes, or test results."""	2B
12	2495	"""The model is activated by quotation marks and conjunctions that connect clauses or phrases, often indicating the start or end of a quotation, a list, or a parenthetical remark."""	2B
12	2496	"""The model is activated by words or phrases that indicate alternatives, contrasts, or additional information, often used to present options, exceptions, or supplementary details."""	2B
12	2497	"""The token \""Brief\"" is consistently activated when it appears at the beginning of a hospital course summary."""	2B
12	2498	"""Employment status or job-related events."""	2B
12	2499	"""Repetition or recurrence of events or conditions, often indicated by words like \""again\"", \""another\"", or \""once more\""."""	2B
12	2500	"""The presence of \""pulse\"" or \""MP\"" ( likely referring to \""metacarpophalangeal\"" ) in a medical context, often related to vascular or physical examination findings."""	2B
12	2501	"""Medical procedures, tests, or interventions, often involving imaging or minimally invasive techniques."""	2B
12	2502	"""Medication prescriptions or dosages, particularly those containing numerical values."""	2B
12	2503	"""Medication instructions or dosing frequencies."""	2B
12	2504	"""The digit \""1\"" is consistently activated when it appears as the first digit in a sequence of digits, often denoting a numbered list or item."""	2B
12	2505	"""The presence of the token \""culture\"" is the primary indicator of the observed activation levels."""	2B
12	2506	"""Prepositions and adjacent words that indicate assistance, accompaniment, or relation, often in the context of medical treatment or physical support."""	2B
12	2507	"""The model is activated by phrases indicating physical impact or collision, often involving the head."""	2B
12	2508	"""Phrases indicating causality or attribution, often involving words like \""blame\"", \""attributed\"", \""responsible\"", \""culprit\"", \""cause\"", or phrases like \""due to\"" or \""because of\""."""	2B
12	2509	"""The model is activated by tokens that are part of a medical abbreviation, dosage instruction, or a medical term that is not fully spelled out, often denoted by a symbol or a partial word."""	2B
12	2510	"""Percentile values and numerical measurements, particularly those related to medical test results and patient statistics."""	2B
12	2511	"""Medical conditions, lab findings, and treatments."""	2B
12	2512	"""Forward slashes and numbers, particularly in the context of vital signs, medication dosages, and measurements."""	2B
12	2513	"""Instructions or advice given to patients, often related to treatment or medication adherence."""	2B
12	2514	"""Medical instructions or dosing information, particularly those related to administration routes or frequencies."""	2B
12	2515	"""The action of pulling something, often in a medical context."""	2B
12	2516	"""Medical terminology, particularly lab results, diagnoses, and medical procedures."""	2B
12	2517	"""Symbols or abbreviations used in medical notation or laboratory values."""	2B
12	2518	"""Medical instructions, medication names, and dosing information, particularly those related to administration and timing."""	2B
12	2519	"""Medical terms, particularly those related to diagnoses, symptoms, or body parts, and also certain words that are part of medical phrases or expressions."""	2B
12	2520	"""Medical scheduling, medication, and treatment instructions, particularly those involving specific times, days, or dosages."""	2B
12	2521	"""The first digit of a patient's weight in grams."""	2B
12	2522	"""The model is activated by tokens that are part of a phrase or sentence connector, often indicating a cause-and-effect relationship or a transition between ideas, as well as certain tokens that are part of a list or a monitoring instruction."""	2B
12	2523	"""HTML tags, particularly closing tags, often used to denote section headers or titles in medical records."""	2B
12	2524	"""Medical terms, particularly those related to diagnoses, symptoms, or medical tests, and also certain words that are part of medical jargon or abbreviations."""	2B
12	2526	"""The model is activated by phrases indicating a patient's status or condition after a medical event or procedure, often involving a verb or a state of being."""	2B
12	2527	"""The definite article \""the\"" when it appears in a specific context or location, particularly at the beginning of a sentence or phrase, or when referring to a specific time or situation."""	2B
12	2529	"""Descriptions of shapes or forms, particularly those related to medical imaging or physical examination findings."""	2B
12	2530	"""Units or abbreviations of measurement, dosage, or medical terminology."""	2B
12	2531	"""Terms related to pregnancy, childbirth, and obstetric history."""	2B
12	2532	"""The model is activated by tokens that are part of a phrase or sentence that is being set off or emphasized, often indicating a transition, a clarification, or a specific detail, rather than a specific topic or domain."""	2B
12	2533	"""The model is activated by phrases that indicate a method, approach, or means to achieve or obtain something."""	2B
12	2534	"""Tokens indicating a status, continuation, or connection between medical concepts or actions."""	2B
12	2535	"""Medical terminology, particularly abbreviations and technical terms, often used in clinical notes and prescriptions."""	2B
12	2536	"""Punctuation marks and symbols used in medical prescriptions and instructions."""	2B
12	2537	"""The token \""been\"" is consistently activated when it is part of a phrase indicating a patient's past or ongoing condition, behavior, or situation, often in the context of social or medical history."""	2B
12	2538	"""The term \""MEDICATIONS\"" or its partial matches, particularly the substring \""MEDIC\"", is highly activated, indicating that the pattern is related to discharge medications."""	2B
12	2539	"""Blood urea nitrogen (BUN) and creatinine levels, often in the context of electrolyte panels or other lab results."""	2B
12	2540	"""Medical procedures and equipment, particularly those involving insertion or placement of devices."""	2B
